NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,MISEQ_ID,n,LOCATION,SLG,BARRIERS
M129652,M1329,1A,001,5597,NA,Oncorhynchus,mykiss,203.2,NA,NA,NA,NA,NA,NA,NA,9/18/20,NA,LC,3/11/2022,NA,IDR = Inter Dam Reach,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4249,27,Putah,HIDR,Above
M129653,M1329,1B,002,5597,NA,Oncorhynchus,mykiss,482.6,NA,NA,NA,NA,NA,NA,NA,9/18/20,NA,LC,3/11/2022,NA,"First clip fell into creek, had to take a second clip",California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4261,27,Putah,HIDR,Above
M129654,M1329,1C,003,5597,NA,Oncorhynchus,mykiss,203.2,NA,NA,NA,NA,NA,NA,NA,9/18/20,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4273,27,Putah,HIDR,Above
M129655,M1329,1D,004,5597,NA,Oncorhynchus,mykiss,203.2,NA,NA,NA,NA,NA,NA,NA,10/10/20,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4285,27,Putah,HIDR,Above
M129656,M1329,1E,005,5597,NA,Oncorhynchus,mykiss,406.4,NA,NA,NA,NA,NA,NA,NA,10/10/20,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4297,27,Putah,HIDR,Above
M129657,M1329,1F,006,5597,NA,Oncorhynchus,mykiss,203.2,NA,NA,NA,NA,NA,NA,NA,10/29/20,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.515329,-122.063648,Access 3_Upstream,steelhead4309,27,Putah,HIDR,Above
M129658,M1329,1G,007,5597,NA,Oncorhynchus,mykiss,355.6,NA,NA,NA,NA,NA,NA,NA,11/9/20,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4321,27,Putah,HIDR,Above
M129659,M1329,1H,008,5597,NA,Oncorhynchus,mykiss,330.2,NA,NA,NA,NA,NA,NA,NA,12/22/20,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.51534,-122.063715,Access 3_Upstream,steelhead4333,27,Putah,HIDR,Above
M129660,M1329,2A,009,5597,NA,Oncorhynchus,mykiss,457.2,NA,NA,NA,NA,NA,NA,NA,2/6/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Bear Canyon Creek,"Lower Anderson Creek, Upper Putah/Lower Anderson",Upper Putah/Lower Anderson,NA,NA,38.774574,-122.694283,Upstream of Bridge,steelhead4250,4,Putah,HLAC,Above
M129661,M1329,2B,010,5597,NA,Oncorhynchus,mykiss,139.7,NA,NA,NA,NA,NA,NA,NA,2/22/21,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Bear Canyon Creek,"Lower Anderson Creek, Upper Putah/Lower Anderson",Upper Putah/Lower Anderson,NA,NA,38.774319,-122.692899,Upstream of Bridge,steelhead4262,4,Putah,HLAC,Above
