WATER_NAME,REACH_SITE,HATCHERY,LOCATION,SLG,BARRIERS,NEW_WATER_NAME,,,
Frog Creek,NA,NA,CVA,AFRC,Above,,,,
Middle Fork American River,Cache Rock,NA,CVA,AMFA,Above,,,,
North Arm Rice Creek,NA,NA,CVA,ANRI,Above,,,,
"Battle Creek, Coleman Hatchery",NA,Coleman Hatchery,CVB,BCOH,Hatchery,Battle Creek,,,
Deer Creek,NA,NA,CVB,BDEC,Below,,,,
"Feather River, Feather River Hatchery",NA,Feather River Hatchery,CVB,BFER,Hatchery,Feather River,,,
"Mokelumne River, Mokelumne River Hatchery",NA,Mokelumne River Hatchery,CVB,BMOR,Hatchery,Mokelumne River,,, 
"American River, Nimbus River Hatchery",NA,Nimbus River Hatchery,CVB,BNIH,Hatchery,American River,,,
Alameda Creek,Arroyo Hondo,NA,Coastal_mid,CALA,Above,,,,
Big Creek,Mainstem,NA,Coastal_mid,CBIC,Below,,,,
Dry Creek,NA,Warm Springs Hatchery,Coastal_mid,CDRC,Below,,,,
Eel River,NA,Van Arsdale Fisheries Station,Coastal_mid,CEER,Below,,,,
Freshwater Creek,NA,NA,Coastal_mid,CFRC,Below,,,,
Mad River,NA,NA,Coastal_mid,CMAR,Below,,,,
Middle Fork Eel River,Asa Bean,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Asa Bean 2,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,False Asa Bean,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 12,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 15,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 26,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 41,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 47A,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 53,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 59,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 68b?,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 69,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 97,NA,Coastal_mid,CMFE,Below,,,,
Middle Fork Eel River,Pool 98,NA,Coastal_mid,CMFE,Below,,,,
Little North Fork Ten Mile River,NA,NA,Coastal_mid,CTMR,Below,,,,
McKenzie River,Leaburg Bypass,NA,Coastal_north,DMCR,Below,,,,
South Santiam River,Foster Trap,NA,Coastal_north,DSSR,Below,,,,
South Santiam River,NA,NA,Coastal_north,DSSR,Below,,,,
Willamette River,Fall Creek,NA,Coastal_north,DWIR,Below,,,,
"Putah Creek, Anadromous Reach",Anadromous Reach,NA,Putah,HANR,Below,,,,
"Putah Creek, IDR",IDR,NA,Putah,HIDR,Above,,,,
James Creek,James Creek,NA,Putah,HJAC,Above,,,,
"Lower Anderson Creek, Upper Putah/Lower Anderson",Upper Putah/Lower Anderson,NA,Putah,HLAC,Above,,,,
Lake Berryessa,CDFW_data,NA,Putah,HLBE,Above,,,,
Middle Creek,Middle Creek,NA,Putah,HMIC,Above,,,,
Pope Creek,Pope Creek,NA,Putah,HPOC,Above,,,,
Trout Creek,Trout Creek,NA,Putah,HTRC,Above,,,,
"Anderson Creek, Above Waterfalls",Above Waterfalls,NA,Putah,HUAC,Above,,,,
"Upper Upper Putah, Upper Putah/Lower Anderson",Upper Putah/Lower Anderson,NA,Putah,HUUP,Above,,,,
BUCK CREEK,NA,NA,Inland,IBUC,Above,Buck Creek,,,
Eagle Lake,CDFW_data,NA,Inland,IEAL,Above,,,,
Eagle Lake,Christie,NA,Inland,IEAL,Above,,,,
Eagle Lake,CHRISTIE,NA,Inland,IEAL,Above,,,,
Eagle Lake,Eagle's Nest,NA,Inland,IEAL,Above,,,,
Eagle Lake,MERRILL CREEK,NA,Inland,IEAL,Above,,,,
Eagle Lake,PAPOOSE CREEK,NA,Inland,IEAL,Above,,,,
Eagle Lake,Pike's Point,NA,Inland,IEAL,Above,,,,
Eagle Lake,PINE CREEK TRAP,NA,Inland,IEAL,Above,,,,
Eagle Lake,S. SHORE,NA,Inland,IEAL,Above,,,,
Eagle Lake,SO. SHORE,NA,Inland,IEAL,Above,,,,
North Fork Clicks Creek,NA,NA,Inland,INCL,Above,,,,
NORTH FORK DEEP CREEK,NA,NA,Inland,INDE,Above,North Fork Deep Creek,,,
NORTH FORK SHIELDS CREEK,NA,NA,Inland,INSH,Above,North Fork Shields Creek,,,
South Fork Deep Creek,NA,NA,Inland,ISDE,Above,,,,
SOUTH FORK SHIELDS CREEK,NA,NA,Inland,ISSH,Above,South Fork Shields Creek,,,
Horse Linto Creek,NA,NA,Klamath,KHLC,Below,,,,
Shasta River,NA,NA,Klamath,KSHR,Below,,,,
Spring Creek,NA,NA,Klamath,KSPC,Above,,,,
Moosehead Creek,NA,NA,CVA_redband,NMOC,Above,,,,
Sheephaven Creek,NA,NA,CVA_redband,NSHC,Above,,,,
RT-Coleman,CDFW_data,NA,Hatchery,RTCO,Stocking,,,,
RT-Hot Creek,CDFW_data,NA,Hatchery,RTHO,Stocking,,,,
RT-Kamloops,CDFW_data,NA,Hatchery,RTKA,Stocking,,,,
RT-Pit,CDFW_data,NA,Hatchery,RTPI,Stocking,,,,
RT-Shasta,CDFW_data,NA,Hatchery,RTSH,Stocking,,,,
Coldwater Canyon Creek,Sec 1,NA,Coastal_socal,SCOC,Above,,,,
Coldwater Canyon Creek,Sec 2,NA,Coastal_socal,SCOC,Above,,,,
